,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,
KobeBryant,819,768,742,564,541,583,451,626,21,241,,,
JoeJohnson,330,314,379,362,269,243,186,161,195,176,,,
LeBronJames,814,701,771,762,773,663,502,535,585,528,,,
CarmeloAnthony,709,568,590,468,612,605,367,512,541,237,,,
DwightHoward,598,666,897,849,816,916,572,721,638,271,,,
ChrisBosh,581,590,559,617,590,471,279,302,272,232,,,
ChrisPaul,465,357,390,524,190,384,302,323,345,321,,,
KevinDurant,256,256,448,524,840,675,501,750,805,171,,,
DerrickRose,205,205,205,250,338,555,239,0,32,187,,,
DwayneWade,803,535,467,771,702,652,297,425,258,370,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,176
,,KobeBryant,,,,,,,,,,,528
,,JoeJohnson,,,,,,,,,,,237
,,LeBronJames,,,,,,,,,,,271
,,CarmeloAnthony,,,,,,,,,,,232
,,DwightHoward,,,,,,,,,,,321
,,ChrisBosh,,,,,,,,,,,171
,,ChrisPaul,,,,,,,,,,,187
,,KevinDurant,,,,,,,,,,,370
,,DerrickRose,,,,,,,,,,,
,,DwayneWade,,,,,,,,,,,
,,"Showing 1 to 10 of 10 entries, 10 total columns",,,,,,,,,,,
