,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
KobeBryant,3277,3140,3192,2960,2835,2779,2232,3013,177,1207
JoeJohnson,3340,2359,3343,3124,2886,2554,2127,2642,2575,2791
LeBronJames,3361,3190,3027,3054,2966,3063,2326,2877,2902,2493
CarmeloAnthony,2941,2486,2806,2277,2634,2751,1876,2482,2982,1428
DwightHoward,3021,3023,3088,2821,2843,2935,2070,2722,2396,1223
ChrisBosh,2751,2658,2425,2928,2526,2795,2007,2454,2531,1556
ChrisPaul,2808,2353,3006,3002,1712,2880,2181,2335,2171,2857
KevinDurant,1255,1255,2768,2885,3239,3038,2546,3119,3122,913
DerrickRose,1168,1168,1168,3000,2871,3026,1375,0,311,1530
DwayneWade,2892,1931,1954,3048,2792,2823,1625,2391,1775,1971
