,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
KobeBryant,2832,2430,2323,2201,1970,2078,1616,2133,83,782
JoeJohnson,1653,1426,1779,1688,1619,1312,1129,1170,1245,1154
LeBronJames,2478,2132,2250,2304,2258,2111,1683,2036,2089,1743
CarmeloAnthony,2122,1881,1978,1504,1943,1970,1245,1920,2112,966
DwightHoward,1292,1443,1695,1624,1503,1784,1113,1296,1297,646
ChrisBosh,1572,1561,1496,1746,1678,1438,1025,1232,1281,928
ChrisPaul,1258,1104,1684,1781,841,1268,1189,1186,1185,1564
KevinDurant,903,903,1624,1871,2472,2161,1850,2280,2593,686
DerrickRose,597,597,597,1361,1619,2026,852,0,159,904
DwayneWade,2040,1397,1254,2386,2045,1941,1082,1463,1028,1331
